order_id;customer_id;order_status;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date
d3c8851a6651eeff2f73b0e011ac45d0;957f8e082185574de25992dc659ebbc0;processing;05/10/2016 22:44;06/10/2016 15:51;;;09/12/2016 0:00
cbbb524a0e1646aa6cf7a3c0bbe517ad;dacb079d55ffb1d3955c5d923df3ebb7;delivered;05/10/2016 7:31;06/10/2016 2:46;10/10/2016 2:46;16/10/2016 14:36;07/12/2016 0:00
ac2b7c522d811acba0aa270ed3e112e4;ef21aebbb093a6db29ccc6aa0b89c347;delivered;05/10/2016 15:08;06/10/2016 15:44;10/10/2016 15:44;13/10/2016 15:44;29/11/2016 0:00
7033745709b7cf1bac7d2533663592de;7f0ca17bb33b230b47459437cf0682c7;delivered;04/10/2016 14:13;04/10/2016 14:46;08/10/2016 14:46;11/10/2016 14:46;30/11/2016 0:00
5cd498954e2b37d71b315166809b4bd7;ff1a56726b7ea149c7423865609cc0c8;delivered;07/10/2016 0:54;08/10/2016 3:56;25/10/2016 11:35;27/10/2016 17:32;01/12/2016 0:00
dc5f6cd4492bbffe5bcda9b87856c9a5;2ebf822bbf33241c7bffb42235519f92;delivered;05/10/2016 13:12;06/10/2016 15:47;21/10/2016 16:34;27/10/2016 12:33;29/11/2016 0:00
cb2b577a4ebd84bf84ff3990084d490f;ebd67b458c0b8b23fa5d869779adc761;delivered;05/10/2016 17:11;06/10/2016 15:54;30/10/2016 15:14;31/10/2016 21:41;29/11/2016 0:00
3b2ca3293a7ce539ea2379d704fa37ce;06a70917afd2dcd59396e1eac836c646;delivered;05/10/2016 12:44;06/10/2016 15:47;17/11/2016 11:54;17/11/2016 19:53;25/11/2016 0:00
e5fa5a7210941f7d56d0208e4e071d35;683c54fc24d40ee9f8a6fc179fd9856c;canceled;05/09/2016 0:15;07/10/2016 13:17;;;28/10/2016 0:00
85841af0d94e5d0cd3a9c0e42e565b74;603dd05a409bcfe63ca922996c72bdfb;delivered;05/10/2016 22:39;06/10/2016 16:03;10/10/2016 16:03;13/10/2016 16:03;25/11/2016 0:00
03ffce741877a000ca0fb3520673d4c4;e937151346d1bec664f5b80cd798bdd2;delivered;05/10/2016 15:17;06/10/2016 16:02;15/10/2016 12:39;25/10/2016 20:28;09/12/2016 0:00
2e7a8482f6fb09756ca50c10d7bfc047;08c5351a6aca1c1589a38f244edeee9d;shipped;04/09/2016 21:15;07/10/2016 13:18;18/10/2016 13:14;;20/10/2016 0:00
64f5569ef96004a1e1137bdf28fd4c45;abd49ba4cf56e622b951f281361f56ad;delivered;05/10/2016 21:10;06/10/2016 15:59;30/10/2016 13:27;31/10/2016 13:27;29/11/2016 0:00
7ac6f4778cd283c6b76c66fe1e0d4431;ed8be358abd6a8b37ba8cc9d485e7bbb;delivered;07/10/2016 10:11;07/10/2016 11:22;15/10/2016 12:38;18/10/2016 17:21;05/12/2016 0:00
a08d1f4b300c3d7ec52f5f9a74234eca;e2c852f36be265c817eafd880884b206;delivered;10/10/2016 11:08;10/10/2016 12:02;21/10/2016 16:02;21/10/2016 16:25;30/11/2016 0:00
83812118bb682267a9880ea1b261ac4b;6b4acd0818e5852c5271cb061ccbb493;delivered;04/10/2016 15:07;07/10/2016 10:12;11/10/2016 10:12;31/10/2016 21:57;08/12/2016 0:00
1b2d622f7ebb8e65f7de3e389f052540;0dc0162bbe9965694a426d8c6f1a56fb;delivered;06/10/2016 11:05;06/10/2016 15:51;10/10/2016 15:51;27/10/2016 8:14;28/11/2016 0:00
6ece326e25f193d084e3dc092bbdd93b;3f63878c497f2703038d3eb23f8516b0;delivered;06/10/2016 20:15;06/10/2016 20:50;21/10/2016 16:17;24/10/2016 16:17;30/11/2016 0:00
38c5c2886f2aab75bb1ae3f79a3f300d;6676a459c2b773481c9dacde3c44c680;delivered;08/10/2016 8:25;08/10/2016 9:10;12/10/2016 9:10;26/10/2016 12:05;30/11/2016 0:00
08edff712f0cd04883215bdb5b0d7c7f;230787cbf8da57cbd10d7c223cde6f1f;delivered;08/10/2016 13:54;08/10/2016 16:34;12/10/2016 16:34;15/10/2016 16:34;30/11/2016 0:00
f716dffba1232aaef7c899fb8c14db97;cf5112cc5129776cc69c956dc265a5f7;delivered;07/10/2016 15:12;07/10/2016 15:59;11/10/2016 15:59;14/10/2016 15:59;25/11/2016 0:00
cd3b8574c82b42fc8129f6d502690c3e;7812fcebfc5e8065d31e1bb5f0017dae;delivered;03/10/2016 22:31;04/10/2016 10:19;08/10/2016 10:34;14/10/2016 16:08;23/11/2016 0:00
c78634fb21ecbb54b2b2498a660082ac;7c72a0cfc64d38509b262a4e85c84d9a;delivered;07/10/2016 16:56;07/10/2016 17:32;21/10/2016 11:47;26/10/2016 15:27;29/11/2016 0:00
5226f1a731e8a1215da5e1bea64e2130;3489fb03bfa99335c385df8b863a701b;canceled;10/10/2016 9:51;18/10/2016 15:19;;;18/11/2016 0:00
d01f0aba52a4d7b2cca8d7623538a434;da41f8be4acae374b2c5bfe8f9659e7e;delivered;10/10/2016 7:03;10/10/2016 12:02;24/10/2016 17:17;10/11/2016 10:59;12/12/2016 0:00
4fb7f38042d214ada4d81cc23d228cc8;92da31c4d9d81552801e3c1a6194b796;delivered;10/10/2016 0:01;11/10/2016 10:44;14/10/2016 18:00;16/11/2016 17:17;14/12/2016 0:00
323dad8c483c7f8b818a825d257f4aa0;021833e9737a1145b5a6e3053f0f4329;delivered;06/10/2016 20:05;07/10/2016 10:16;11/10/2016 10:16;14/10/2016 10:16;28/11/2016 0:00
2825848807f070485f0f0ef3829758f4;b30a4d09f171b5da553bab49a0a61764;delivered;09/10/2016 22:36;10/10/2016 11:03;14/10/2016 11:03;17/10/2016 12:03;30/11/2016 0:00
2e32dea8a4d1ae5499a67674b387bc6a;7fd973e7865ee210512c6222d387e7aa;delivered;06/10/2016 2:53;06/10/2016 15:53;21/10/2016 16:32;27/10/2016 14:02;28/11/2016 0:00
80606b26965c5ed21e85a085e0667b63;9e241a9965210ac822859a94c0f33162;delivered;04/10/2016 11:03;06/10/2016 7:46;17/11/2016 11:21;17/11/2016 19:14;08/12/2016 0:00
ed3d575bd3358123b063ee64cdecdef5;7591ab894fb4a47debe5beef968b6804;delivered;08/10/2016 16:02;08/10/2016 20:38;12/10/2016 20:38;15/10/2016 20:38;30/11/2016 0:00
